,Path,Audio,MFCCS,Label
0,/content/Emotions/OAF_Sad,OAF_have_sad.wav,"[[-6.8749817e+02 -6.2848932e+02 -5.7632397e+02 ... -5.7939465e+02
  -5.9480328e+02 -6.1283228e+02]
 [ 7.0875565e+01  1.7202322e+01 -3.1903000e+01 ...  8.5915771e+01
   9.3765175e+01  9.9957657e+01]
 [ 3.2759838e+01  2.5083063e+01  1.8218193e+01 ... -1.3326254e+01
  -9.0338717e+00  4.4886583e-01]
 ...
 [ 1.2673134e+00  7.2754154e+00  1.2302705e+01 ...  7.2091660e+00
   1.4570119e+00  2.9150305e+00]
 [ 5.5723004e+00  2.5077379e-01 -1.4463508e+00 ...  7.2135649e+00
   6.1505499e+00  7.6243815e+00]
 [ 1.9565026e+00  2.5332332e+00  6.7888513e+00 ...  1.1042250e+01
   7.7892337e+00  9.1127567e+00]]",OAF_Sad
1,/content/Emotions/OAF_Sad,OAF_jug_sad.wav,"[[-6.3417438e+02 -5.4844336e+02 -4.8925647e+02 ... -6.3055908e+02
  -6.5340216e+02 -6.7217682e+02]
 [ 2.8503094e+01 -3.3910422e+00 -3.0536692e+01 ...  1.3140219e+02
   1.0066872e+02  8.0735306e+01]
 [ 2.9601490e+01  3.0093105e+01  2.3191490e+01 ...  7.2343048e+01
   5.8882259e+01  4.3155434e+01]
 ...
 [ 6.7132750e+00  7.6030712e+00  6.1545773e+00 ...  5.7421236e+00
   1.5703733e+01  1.9870956e+01]
 [-2.9414563e+00 -2.7691841e-02 -4.1117752e-01 ...  1.0800837e+01
   1.1526634e+01  1.5272000e+01]
 [ 3.4701834e+00  2.8852673e+00  1.7310646e+00 ...  2.4148121e+00
   5.2460146e+00  1.3481337e+01]]",OAF_Sad
2,/content/Emotions/OAF_Sad,OAF_calm_sad.wav,"[[-6.8625757e+02 -6.8768323e+02 -6.3858752e+02 ... -6.5792291e+02
  -6.8469153e+02 -7.0683636e+02]
 [ 9.4349533e+01  9.3898148e+01  5.3533180e+01 ...  6.8273804e+01
   6.6990623e+01  6.7191620e+01]
 [ 4.2201729e+01  4.6172695e+01  3.7455982e+01 ...  2.5129618e+01
   2.4088985e+01  3.4872902e+01]
 ...
 [ 6.4413130e-01  3.5593934e+00  1.5248214e+00 ...  7.9554853e+00
   9.6752510e+00  4.8771815e+00]
 [-1.7224486e+00  6.0149038e-01 -1.2880534e+00 ... -1.2766552e+00
   8.9904439e-01 -1.7446735e+00]
 [ 1.1669116e+00  1.7940025e+00  3.2644181e+00 ...  4.1373434e+00
   6.8725743e+00  6.7184144e-01]]",OAF_Sad
3,/content/Emotions/OAF_Sad,OAF_bite_sad.wav,"[[-6.6611951e+02 -6.6820258e+02 -6.3264062e+02 ... -6.2981244e+02
  -6.3048773e+02 -6.2802820e+02]
 [ 2.1801430e+01  1.8487392e+01  7.5071454e+00 ...  5.2637505e+01
   5.0812672e+01  5.4627266e+01]
 [ 2.1508953e+01  1.7705057e+01  2.0278556e+00 ...  1.4860363e+01
   1.2571581e+01  1.6894772e+01]
 ...
 [ 2.6444800e+00  3.5651896e+00  6.1819839e-01 ... -2.0049635e-01
   5.8308661e-01  1.4090812e-01]
 [ 2.5725126e+00  3.1712852e+00  3.7952993e+00 ...  2.9769275e+00
   2.9380348e+00  1.4755316e+00]
 [ 2.4931118e+00  2.7902522e+00  5.3996074e-01 ...  4.5722976e+00
   7.4657631e+00  6.3822560e+00]]",OAF_Sad
4,/content/Emotions/OAF_Sad,OAF_kite_sad.wav,"[[-688.76733   -602.14703   -540.5219    ... -604.1758    -618.2412
  -633.18085  ]
 [  29.676397   -14.47152    -43.96221   ...  124.27028    122.92171
   120.642715 ]
 [   8.790253    17.698858    25.606342  ...   -8.182527     1.8630751
    15.776737 ]
 ...
 [   9.661521     8.152342     9.375675  ...    3.4048803    2.9403663
     0.8921615]
 [   3.5293279    4.2838407    1.1515284 ...    6.4288135    5.218457
     3.5740871]
 [   1.4625866    2.188278     5.1779146 ...    4.117969     4.464384
     6.027436 ]]",OAF_Sad
5,/content/Emotions/OAF_Sad,OAF_time_sad.wav,"[[-7.18432373e+02 -7.24117188e+02 -6.55670471e+02 ... -5.74982727e+02
  -6.50474243e+02 -6.80155273e+02]
 [ 3.54672203e+01  2.88617878e+01 -1.57880974e+01 ...  1.50920410e+02
   1.11091255e+02  8.31059189e+01]
 [ 2.99258881e+01  2.64755478e+01  1.88793163e+01 ...  4.20489655e+01
   6.73408051e+01  6.26703911e+01]
 ...
 [ 1.89020681e+00  2.47464371e+00  6.56134605e+00 ...  1.36104298e+01
   1.05475197e+01  6.56084633e+00]
 [ 3.68291557e-01  1.61500216e+00  3.79435897e+00 ...  1.82582664e+01
   1.19722214e+01  6.38526297e+00]
 [-6.71854496e-01  7.43866026e-01 -4.43129396e+00 ...  1.59888515e+01
   1.11848469e+01  6.95717669e+00]]",OAF_Sad
6,/content/Emotions/OAF_Sad,OAF_nag_sad.wav,"[[-7.3436371e+02 -7.3214984e+02 -6.0798285e+02 ... -5.8837445e+02
  -6.1445306e+02 -6.5269165e+02]
 [ 2.7959698e+01  2.7539448e+01 -6.7776179e+00 ...  7.3727722e+01
   6.6112038e+01  5.7614166e+01]
 [ 2.8010820e+01  2.4171419e+01  1.3627065e+01 ... -1.5231989e+01
  -1.3183565e+01 -3.9664392e+00]
 ...
 [ 3.7391100e+00  4.6776867e+00  9.9909649e+00 ...  6.4245862e-01
  -1.4764822e-01  6.0848384e+00]
 [ 2.2820249e+00  3.2756622e+00  2.2753367e+00 ...  3.6228685e+00
   7.1797533e+00  7.2538080e+00]
 [ 2.3750539e+00  2.8848376e+00  4.2407241e+00 ...  5.0444255e+00
   6.4412489e+00  2.0727978e+00]]",OAF_Sad
7,/content/Emotions/OAF_Sad,OAF_tell_sad.wav,"[[-728.8952     -652.5279     -560.50867    ... -670.34534
  -704.01556    -725.3025    ]
 [  39.57631       4.9527073   -32.55435    ...   88.26036
    64.88061      45.023632  ]
 [  35.344368     45.753098     40.63716    ...   42.385517
    37.28964      33.6007    ]
 ...
 [   2.9433548     9.518002     12.42237    ...    6.0443573
     5.042186      0.96045125]
 [   3.5209599     3.8239508    -2.1652331  ...    8.962559
     4.8513107     1.3050365 ]
 [   1.0451264    -1.228708      1.199405   ...    5.617801
     6.284024      3.8973703 ]]",OAF_Sad
8,/content/Emotions/OAF_Sad,OAF_bath_sad.wav,"[[-6.2003296e+02 -5.4224133e+02 -4.8695996e+02 ... -6.6032635e+02
  -7.0884784e+02 -7.1775452e+02]
 [-3.9596277e-01 -2.5560122e+01 -4.5259605e+01 ...  4.7878571e+01
   5.6635544e+01  5.7643791e+01]
 [ 1.5627064e+01  1.8591961e+01  1.5967198e+01 ...  1.0687386e+01
   2.4753304e+01  3.9704483e+01]
 ...
 [ 2.2086191e+00  8.0371106e-01  3.0985751e+00 ...  8.4550266e+00
   4.4921660e+00  4.5710006e+00]
 [ 2.5669868e+00 -2.2756770e+00 -2.0026860e+00 ... -2.2013259e+00
   1.5413952e-01  7.1378648e-01]
 [ 4.7133937e+00  5.2808356e+00  4.6276703e+00 ... -1.3009799e-01
  -3.4857872e-01  8.1310630e-02]]",OAF_Sad
9,/content/Emotions/OAF_Sad,OAF_live_sad.wav,"[[-6.6276379e+02 -5.6984729e+02 -4.9540567e+02 ... -6.0929462e+02
  -6.4981628e+02 -6.9281152e+02]
 [ 7.7521219e+00 -2.4192146e+01 -2.9274040e+01 ...  5.9848568e+01
   6.6323044e+01  6.6820877e+01]
 [ 1.3678997e+01  1.4095728e+01  2.4962109e+01 ... -6.6890302e+00
  -1.2447623e+00  1.2507688e+01]
 ...
 [ 6.8946352e+00  8.6388617e+00  1.0848901e+01 ...  7.6472173e+00
   7.8671656e+00  7.1877670e+00]
 [ 5.4463968e+00 -2.3954310e+00 -1.9760787e-02 ...  3.8501203e-01
   9.6881330e-01  7.2464218e+00]
 [ 2.7385368e+00  5.7490005e+00  1.1827568e+01 ...  6.5486908e+00
   5.1001234e+00  5.6474705e+00]]",OAF_Sad
